2018-04-13 14:03:13 INFO  LoginPage:46 - click on login btoonProxy element for: DefaultElementLocator 'By.id: loginButton'
2018-04-13 14:03:13 INFO  LoginPage:55 - ====after login titile of the page is ===
2018-04-13 16:37:29 INFO  Tc001InvalidLogin:23 - ====Testcase start===
2018-04-13 16:37:29 INFO  LoginPage:41 - username provided[[ChromeDriver: chrome on MAC (1a3094edc3f8b1738c9ac25e397f80c3)] -> id: username]
2018-04-13 16:37:30 INFO  LoginPage:44 - password provided[[ChromeDriver: chrome on MAC (1a3094edc3f8b1738c9ac25e397f80c3)] -> name: pwd]
2018-04-13 16:37:30 INFO  LoginPage:46 - click on login btoon[[ChromeDriver: chrome on MAC (1a3094edc3f8b1738c9ac25e397f80c3)] -> id: loginButton]
2018-04-13 16:37:31 INFO  LoginPage:50 - Username or Password is invalid. Please try again.
2018-04-13 16:37:31 INFO  Tc001InvalidLogin:28 - ====Testcase END===
2018-04-13 16:43:46 INFO  Tc001InvalidLogin:23 - ====Testcase start===
2018-04-13 16:43:47 INFO  LoginPage:41 - username provided[[ChromeDriver: chrome on MAC (18c1b974967c578ba17a385255bc6d62)] -> id: username]
2018-04-13 16:43:47 INFO  LoginPage:44 - password provided[[ChromeDriver: chrome on MAC (18c1b974967c578ba17a385255bc6d62)] -> name: pwd]
2018-04-13 16:43:47 INFO  LoginPage:46 - click on login btoon[[ChromeDriver: chrome on MAC (18c1b974967c578ba17a385255bc6d62)] -> id: loginButton]
2018-04-13 16:43:49 INFO  LoginPage:50 - Username or Password is invalid. Please try again.
2018-04-13 16:43:49 INFO  Tc001InvalidLogin:28 - ====Testcase END===
2018-04-13 16:47:23 INFO  Tc001InvalidLogin:23 - ====Testcase start===
2018-04-13 16:47:23 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (d11ba88c-3a57-c440-94d5-627aa1914c23)] -> id: username]
2018-04-13 16:47:24 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (d11ba88c-3a57-c440-94d5-627aa1914c23)] -> name: pwd]
2018-04-13 16:47:24 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (d11ba88c-3a57-c440-94d5-627aa1914c23)] -> id: loginButton]
2018-04-13 16:47:26 INFO  LoginPage:50 - Username or Password is invalid. Please try again.
2018-04-13 16:47:26 INFO  Tc001InvalidLogin:28 - ====Testcase END===
2018-04-13 17:07:01 INFO  Tc001InvalidLogin:23 - ====Testcase start===
2018-04-13 17:07:02 INFO  LoginPage:41 - username provided[[ChromeDriver: chrome on MAC (b74e0c1233fa49a2155a57a5b89e5799)] -> id: username]
2018-04-13 17:07:02 INFO  LoginPage:44 - password provided[[ChromeDriver: chrome on MAC (b74e0c1233fa49a2155a57a5b89e5799)] -> name: pwd]
2018-04-13 17:07:02 INFO  LoginPage:46 - click on login btoon[[ChromeDriver: chrome on MAC (b74e0c1233fa49a2155a57a5b89e5799)] -> id: loginButton]
2018-04-13 17:07:06 INFO  LoginPage:50 - Username or Password is invalid. Please try again.
2018-04-13 17:07:06 INFO  Tc001InvalidLogin:28 - ====Testcase END===
2018-04-13 17:10:26 INFO  Tc001InvalidLogin:23 - ====Testcase start===
2018-04-13 17:10:26 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (7fc56f04-13fd-9a44-9cfe-51f2a7bb47e1)] -> id: username]
2018-04-13 17:10:27 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (7fc56f04-13fd-9a44-9cfe-51f2a7bb47e1)] -> name: pwd]
2018-04-13 17:10:27 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (7fc56f04-13fd-9a44-9cfe-51f2a7bb47e1)] -> id: loginButton]
2018-04-13 17:10:29 INFO  LoginPage:50 - Username or Password is invalid. Please try again.
2018-04-13 17:10:29 INFO  Tc001InvalidLogin:28 - ====Testcase END===
2018-04-14 22:30:03 INFO  TC0003Multiplecredentials:25 - -----multiple user log
2018-04-14 22:30:04 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (e7541885-6e30-5f4c-ad27-bffe35349b87)] -> id: username]
